,Species,Range,Range_hosts,Overlap_hosts,Overlap_any_plant
77,Anthyllis,21465.3445620989,1807.88445437358,196.350808618393,21456.3032040202
78,Calluna,8843.979423406,1807.88445437358,32.9119553549207,8842.19142318963
79,Geranium,61216.8911601016,1807.88445437358,1178.47345798338,61154.2203252272
80,Erodium,2939.18660527602,1807.88445437358,98.4790489966728,2930.77114997702
81,Lathyrus,37272.0011440719,4866.22311744711,447.845282973724,37242.8297581491
82,Ononis,9688.20755145658,4866.22311744711,44.0461564968784,9681.23027620191
83,Filipendula,17096.3579815627,4866.22311744711,75.4922469712422,17079.7515780882
84,Spiraea,440.517791494755,0,0,438.658814591921
85,Populus,14657.3678291185,0,0,14636.0676679815
86,Lonicera,29564.5903632793,0,0,29529.631809727
87,Viola,59319.6304194738,0,0,59270.3289564098
88,Plantago,69022.7833126709,0,0,68962.2054613698
89,Salix,51480.9207826871,1590.5074745127,509.386708064145,51437.5528774963
90,Urtica,29464.8375354104,13901.7394720318,3737.73611752551,29435.9022237146
91,Echium,8854.23103739483,5369.32375983704,244.771501920071,8841.70645132
92,Carduus,19468.2836607073,380.404456643999,38.9971798104136,19464.7232794578
93,Cirsium,63119.7925701592,0,0,63081.0743879862
94,Humulus,5908.34795605132,4559.7418856339,32.4566208526453,5891.49052672801
95,Parietaria,2677.42131086192,0,0,2662.78602736138
96,Celtis,325.501884813734,15516.9395121058,51.0727271081835,322.575404222428
97,Scabiosa,16950.9729498258,5344.99593260502,587.389578007304,16943.320106434
98,Succisa,2159.65165603982,5344.99593260502,67.8933300191493,2159.02631430862
99,Centaurea,47496.0193110677,0,0,47454.6095026882
100,Linaria,19944.4637588526,0,0,19921.4402499993
101,Verbascum,13477.6180404458,4140.66844011629,205.839167019188,13457.4138116557
102,Rhinanthus,23292.248283594,3971.19205735595,975.128449089121,23279.0809958668
103,Veronica,89859.0149840857,35770.3828329044,27645.2259074444,89775.9285764294
104,Valeriana,31557.2172101467,7709.70836893252,1329.5761587374,31541.3485952818
105,Digitalis,6684.26534874446,32667.855985603,1953.35318611436,6682.46072232856
106,Melampyrum,10912.3601271717,6228.40393934882,354.861808284743,10910.158185136
107,Deschampsia,14260.6489602252,48173.1569435366,5222.61475621411,14253.8728751866
108,Briza,16745.3899595682,17495.0729493626,2278.16613027373,16739.9386378323
109,Agrostis,32756.9284235681,13933.2935029049,4427.71880662025,32733.4419171763
110,Eriophorum,8258.52079627419,16595.6629468272,2314.38810852515,8255.97920098711
