,Species,Range,Range_hosts,Overlap_hosts,Overlap_any_plant
76,Oxytropis,2488.22280421972,12234.05056997,67.654069297128,2486.99224767737
77,Anthyllis,18876.9213274264,5276.03087539208,345.686719642501,18871.5271305945
78,Calluna,6139.9906839003,5276.03087539208,52.394367871848,6138.84400206638
79,Geranium,73975.4942187034,5276.03087539208,3474.550767636,73903.9503590395
80,Erodium,11197.6691375074,5276.03087539208,882.212461164393,11180.1665075092
81,Lathyrus,39058.4083422417,3035.1361374541,501.793574461726,39034.5173515708
82,Ononis,11348.218059368,3035.1361374541,56.7503907925481,11343.493336097
83,Filipendula,13505.2352816929,3035.1361374541,83.8018637951909,13495.7604109438
84,Spiraea,471.005423005236,0,0,470.125319850928
85,Populus,19434.3999353144,0,0,19413.9136135911
86,Lonicera,38379.1711199517,0,0,38339.6129943334
87,Viola,65367.3649727661,0,0,65313.8087776983
88,Plantago,67345.4337194188,0,0,67287.1715794349
89,Salix,50573.9268868715,1333.44548879264,495.513443748828,50522.4596149142
90,Urtica,32541.4202188917,9165.91234059794,2619.79153133939,32513.3033473954
91,Echium,17008.0690384186,5126.17837547525,332.152551249673,16992.2784706323
92,Carduus,19057.2878045008,1413.40595109664,74.4810312869291,19053.4124459669
93,Cirsium,48315.7549575858,0,0,48286.9580222588
94,Humulus,19604.7847581333,1366.14158312991,43.2239205268269,19575.932639033
95,Parietaria,17147.4429496684,0,0,17120.8970782902
96,Celtis,11784.7293276006,24124.3417339959,2555.31690512118,11765.2162531442
97,Scabiosa,18017.6737699484,16311.1154038368,1063.1732358308,18012.0848638495
98,Succisa,1591.20692315952,16311.1154038368,60.9858653095171,1590.94936404341
99,Centaurea,44268.8739339946,0,0,44239.8324173666
100,Linaria,26881.1383632709,0,0,26843.4204906796
101,Verbascum,22678.1058352774,3950.90468802843,269.83046084411,22653.0604914998
102,Rhinanthus,17780.9331402087,3827.73765458054,1197.22512569971,17774.945369213
103,Veronica,101295.741970185,50529.106686442,43811.6063762911,101190.493170166
104,Valeriana,27557.4334081805,4410.32049028523,1827.35555315271,27548.462306838
105,Digitalis,11024.2901557087,25077.083375889,2599.38992723519,11021.6699105083
106,Melampyrum,8657.49055130405,35145.8369737961,348.031764217361,8656.58217819817
107,Deschampsia,10219.3470409367,57424.2044764946,3310.9910514299,10215.5929477236
108,Briza,13886.0699990617,11882.8781373572,2878.64612429585,13884.0450594503
109,Agrostis,26276.0464988223,10851.2958415263,3596.78071591554,26256.4138004014
110,Eriophorum,5651.54399203745,11704.5547262163,1680.14544984886,5649.07511829048
111,Phragmites,17662.0459968713,1366.14158312991,13.9458084900212,17635.4608082494
112,Sesleria,11082.3891908895,1366.14158312991,257.451737233272,11079.8642486975
